name	source	hit_die	alignment	role	requirements	description	url
Agent of the Grave	Pathfinder #45: Broken Moon pg. 67	d8.	Agents of the grave are devoted to gaining personal power through the transition into undeath and advancement within the Whispering Way’s macabre hierarchy. Callous to the needs and agendas of others, these elite servants of death are unwaveringly evil in their pursuit of an ascended death.	Agents of the grave master the necromantic arts, yet instead of controlling hordes of undead minions, they instead seek ultimate enlightenment, and possess subtle and murderous skills to help them attain it. Agents of the grave infiltrate other organizations to glean their magical secrets and have an interest in turning talented members to their own blasphemous discipline.		On their twisted route to immortality, adherents of the Whispering Way learn secret rites that aid them on their path. Every step brings a member that much closer to the final secret. Particularly promising members earn invitations to join an elite group within the organization. In their role as agents of the grave, these members serve the desires of the current leadership, yet more often than not, agents of the grave act solely for one cell or faction.<br>Agents of the grave learn the deepest arcane secrets of the Whispering Way in their quest for undeath, gaining undeadlike traits before their final elevation to a state beyond death. These vile powers, paired with the ability to veil their intentions and increased breadth of knowledge, make agents of the grave perfect members for the task of turning powerful wizards and clerics to the path of the Whispering Way, as well as collectors of the foul relics, components, corpses, and morbid secrets that lie scattered across Golarion.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Agent%20of%20the%20Grave
Aldori Swordlord	Adventurer's Guide pg. 20	d10.				The Aldori swordlords follow no singular path to dueling mastery—some of those who take up the blade only dabble in its use, while others explore swordplay with the dueling weapon in unconventional ways. But those who seek to most closely emulate the traditions created by Sirian Aldori usually do so by taking levels in the Aldori swordlord prestige class. When one hears of an Aldori swordlord traveling the back roads, confronting bandits and defeating braggarts by challenging them to single combat, that swordlord has very likely pursued this path.<br>Due to this prestige class’s emphasis on mastering numerous feats, Aldori swordlords often have levels in the fighter class; many of these are humans with above-average intelligence, which helps them swiftly fulfill the skill requirements, but this is far from the only route available. Rangers, rogues, slayers, and swashbucklers also seek to master this signature swordfighting art by gaining levels as an Aldori swordlord, even though, in most cases, they must wait longer to qualify for the class than fighters. Many of an Aldori swordlord’s abilities rely or build on rules presented in Pathfinder RPG Ultimate Combat, which includes rules for duels. This prestige class also works well in conjunction with the Aldori defender archetype presented on page 22, though neither the archetype nor the prestige class require the other.Requirements<br>To qualify to become an Aldori swordlord, a character must fulfill the following criteria.<br>Feats: Dazzling Display, Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword).<br>Skills: Acrobatics 3 ranks, Intimidate 5 ranks, Knowledge (nobility) 3 ranks, Sense Motive 3 ranks.Class Skills<br>The Aldori Swordlord's class skills are Acrobatics (Dex), Bluff (Cha), Diplomacy (Cha), Intimidate (Cha), Knowledge (nobility) (Int), Perform (Cha), and Sense Motive (Wis).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Aldori%20Swordlord
Arcane Archer	PRPG Core Rulebook pg. 374	d10.	Arcane archers can be of any alignment. Elf or half-elf arcane archers tend to be free-spirited and are rarely lawful. Similarly, it is uncommon for elven arcane archers to be evil, and overall the path of the arcane archer is more often pursued by good or neutral characters.	Arcane archers deal death from afar, winnowing down opponents while their allies rush into hand-to-hand combat. With their capacity to unleash hails of arrows on the enemy, they represent the pinnacle of ranged combat.		Many who seek to perfect the use of the bow sometimes pursue the path of the arcane archer. Arcane archers are masters of ranged combat, as they possess the ability to strike at targets with unerring accuracy and can imbue their arrows with powerful spells. Arrows fired by arcane archers fly at weird and uncanny angles to strike at foes around corners, and can pass through solid objects to hit enemies that cower behind such cover. At the height of their power, arcane archers can fell even the most powerful foes with a single, deadly shot.<br>Those who have trained as both rangers and wizards excel as arcane archers, although other multiclass combinations are not unheard of. Arcane archers may be found wherever elves travel, but not all are allies of the elves. Many, particularly half-elven arcane archers, use elven traditions solely for their own gain, or worse, against the elves whose very traditions they adhere to.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Arcane%20Archer
Arcane Trickster	PRPG Core Rulebook pg. 376	d6.	All arcane tricksters have a penchant for mischief and thievery, and are therefore never lawful. Although they sometimes acquire their magical abilities through the studious path of wizardry, their magical aptitude more often stems from a sorcerous bloodline. As such, many arcane tricksters are of a chaotic alignment.	With their mastery of magic, arcane tricksters can make for even more subtle or confounding opponents than standard rogues. Ranged legerdemain enhances their skill as thieves, and their ability to make sneak attacks without flanking or as part of a spell can make arcane tricksters formidable damage-dealers.		Few can match the guile and craftiness of arcane tricksters. These prodigious thieves blend the subtlest aspects of the arcane with the natural cunning of the bandit and the scoundrel, using spells to enhance their natural thieving abilities. Arcane tricksters can pick locks, disarm traps, and lift purses from a safe distance using their magical legerdemain, and as often as not seek humiliation as a goal to triumph over their foes than more violent solutions.<br>The path to becoming an arcane trickster is a natural progression for rogues who have supplemented their talents for theft with the study of the arcane. Multiclass rogue/sorcerers and rogue/bards are the most common arcane tricksters, although other combinations are possible. Arcane tricksters are most often found in large, cosmopolitan cities where their talents for magical larceny can be most effectively put to use, prowling the streets and stealing from the unwary.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Arcane%20Trickster
Arclord of Nex	Paths of Prestige pg. 6	d6.				The Arclords of Nex trace their lineage to the personal retinue of the archmage Nex, and though the demiurge has been missing for over four millennia, the Arclords still seek to enact his will. Whenever possible, they follow in the literal footsteps of Nex by looking to the wizard-king’s diary entries, workbooks, and scrolls (with such resources often being of questionable legitimacy). Seizing political power in the years immediately after his disappearance, the Arclords reinitiated hostilities with rival Geb while instituting laws and social policies derived from hoarded scraps of Nex’s personal correspondence and journals. This behavior led to their ouster and exile from Nex.<br>In the centuries since, most Arclords have pursued less radical methods of carrying out Nex’s will. Arclords pioneered and refined the practical application of magical constructs, conjurations, and education, founding the legendary Arcanamirium in Absalom. In Quantium, the Arclords’ ancient exile is long since forgotten. The Arclords’ goal is as subtle as it is simple—to make themselves and their magic (and, in a broader sense, all magic) an indispensable and irreplaceable foundation of communities and societies across the face of Golarion. In this way, they have achieved positions of influence and leadership that eluded them when they tried to seize power directly, and their voice is loud and persuasive in courts throughout the Inner Sea.Requirements<br>To qualify to become an Arclord of Nex, a character must fulfill all of the following criteria.<br>Feats: Craft Construct, Craft Wondrous Item, Eye of the Arclord (The Inner Sea World Guide 286).<br>Skills: Diplomacy 5 ranks, Knowledge (arcana) 5 ranks, Knowledge (engineering) 5 ranks, Spellcraft 5 ranks.<br>Special: You must be able to cast arcane sight, and have at least two spells from every school of magic scribed in your spellbook.<br>Special: Arcane school class feature. You must have the ability to use hand of the apprentice or a different arcane school power that you can use a number of times per day equal to 3 + your Intelligence modifier. For Arclord of Nex abilities that require you to expend a number of uses of hand of the apprentice, if you can’t use hand of the apprentice you can substitute an equivalent arcane school power you can use a number of times per day equal to 3 + your Intelligence modifier. If you do, you must expend one additional use.Class Skills<br>The Arclord of Nex's class skills are Diplomacy (Cha), Linguistics (Int), Sense Motive (Wis), and Use Magic Device (Cha).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Arclord%20of%20Nex
Argent Dramaturge	Adventurer's Guide pg. 172	d6.				The city of Kintargo has a long and proud association with the arts, particularly the theater and the opera. The fascination with operatic performances is well established throughout the nation of Cheliax, yet in Kintargo the lack of direct meddling from the government or the church of Asmodeus (a luxury afforded by the city’s relative distance from the Chelish heartland) allowed for performers in Kintargo to lace their works with anti-Thrune metaphors and themes of freedom and individuality that would have swiftly resulted in arrests or even executions had artists dared to perform them elsewhere in the nation.<br>It was from such traditions that Kintargan performers began to build powerful, magical performances, the most famous of which today is the “Song of Silver.” The potent magic of this song has inspired some Silver Ravens to delve into the secrets and lore of magical performances. These talented performers study not only the history of the songs and plays popular among bards, but also the underlying structures and themes from which these performances derive their magical potential. Using this knowledge, these argent dramaturges subtly alter their bardic performances to make them more effective against the forces of House Thrune and Cheliax.Requirements<br>To qualify to become an argent dramaturge, a character must fulfill the following criteria.<br>Feat: Skill Focus (Perform).<br>Skills: Knowledge (arcana) 2 ranks, Knowledge (history) 2 ranks, Perform (sing) 6 ranks, Spellcraft 6 ranks.<br>Spells: Able to cast spells, including at least one 2nd-level spell with the language-dependent descriptor or the sonic descriptor.Class Skills<br>The Argent Dramaturge's class skills are Bluff (Cha), Diplomacy (Cha), Escape Artist (Dex), Fly (Dex), Heal (Wis), Intimidate (Cha), Knowledge (all) (Int), Linguistics (Int), Perform (all) (Cha), Perception (Wis), Sense Motive (Wis), Spellcraft (Int), and Use Magic Device (Cha).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Argent%20Dramaturge
Asavir	Adventurer's Guide pg. 10	d10.				The fighting style of asavirs originated among the Althameri tribespeople. Most tribal holds have only a single asavir, who leads infantry in defending the hold and distracting invaders while the tribe’s light cavalry sweep around behind invading forces. An asavir’s bond with her genie-blessed mount is even closer than the partnership most Al-Zabriti share with their horses, and her human compatriots fight with extra ferocity, knowing that they have a tireless protector. Asavirs sometimes leave their tribe to become mercenaries or adventurers, and it is from such asavirs that the techniques of this prestige class are usually spread to those outside of Al-Zabrit (much to traditionalists’ chagrin). As members of the devoutly Sarenite tribes of Al-Zabrit, asavirs tend toward nonevil alignments. Asavirs outside the region exhibit a wide range of alignments, though those with chaotic alignments generally find that the discipline of the Imperial Forces discourages them from making a career of military service. Given the importance of family and tribal affiliations to Al-Zabriti identity, asavirs who are exiled from their tribes might slide into evil alignments out of despondence or resentment.Requirements<br>To qualify to become an asavir, a character must fulfill the following criteria.<br>Base Attack Bonus: +4.<br>Feats: Mounted Combat.<br>Skills: Handle Animal 5 ranks, Ride 5 ranks.Class Skills<br>The Asavir's class skills are Bluff (Cha), Craft (Int), Handle Animal (Cha), Intimidate (Cha), Knowledge (nature) (Int), Knowledge (religion) (Int), Perception (Wis), Ride (Dex), Sense Motive (Wis), and Survival (Wis).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Asavir
Ashavic Dancer	Paths of the Righteous pg. 4	d8.	Neutral good or chaotic good.			Worshiped throughout the Inner Sea region, but particularly along Varisia’s Lost Coast, the empyreal lord Ashava inspires her followers to leave the safety of cities and caravans to venture into the dark places of the world, where lonely souls are often set adrift from their natural course on the River of Souls. Using the light of the moon and mesmerizing performances, Ashavic dancers hope to rescue these lost souls from their eternal torment.Requirements<br>To qualify to become an Ashavic dancer, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Ashavic%20Dancer
Aspis Agent	Adventurer's Guide pg. 30	d8.				The Aspis Consortium employs many unscrupulous individuals in its ongoing plots to achieve wealth and dominion throughout the Inner Sea region. Aspis agents are the Consortium’s chief instruments in this endeavor— public ambassadors who put a pleasant and disarming face forward while diverting attention from the company’s true interests and activities.<br>Aspis agents research ancient lore to discover long-lost treasures; then they organize expeditions to recover them for their leaders (usually higher-ranking Aspis agents). Their careful study of the traps and hazards of ancient ruins helps agents evade danger while leaving such threats intact for competing treasure hunters to face.Requirements<br>To qualify to become an Aspis agent, a character must fulfill the following criteria.<br>Skills: Appraise 5 ranks, Bluff 5 ranks, Craft (traps) 5 ranks, Disable Device 5 ranks, Intimidate 5 ranks, Knowledge (history) 5 ranks, Perception 5 ranks.<br>Special: Proficiency with the whip, as well as either the trap sense class feature or the ability to cast detect secret doors.Class Skills<br>The Aspis Agent's class skills are Bluff (Cha), Disguise (Cha), Knowledge (arcana) (Int), Knowledge (history) (Int), Sense Motive (Wis), Sleight of Hand (Dex), and Use Magic Device (Cha).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Aspis%20Agent
Assassin	PRPG Core Rulebook pg. 378	d8.	Due to its necessary selfishness and callous indifference toward taking lives, the assassin class attracts those with evil alignments more than any others. Because the profession requires a degree of self-discipline, chaotic characters are ill suited to becoming these shadowy killers. Neutral characters sometimes become assassins, frequently thinking of themselves as simple professionals performing a job, yet the nature of their duties inevitably pushes them toward an evil alignment.	Assassins tend to be loners by nature, seeing companions as liabilities at best. Sometimes an assassin's missions put him in the company of adventurers for long stretches at a time, but few people are comfortable trusting a professional assassin to watch their backs in a fight, and are more likely to let the emotionless killer scout ahead or help prepare ambushes.		A mercenary undertaking his task with cold, professional detachment, the assassin is equally adept at espionage, bounty hunting, and terrorism. At his core, an assassin is an artisan, and his medium is death. Trained in a variety of killing techniques, assassins are among the most feared classes.<br>While nearly any class is capable of becoming an assassin, rogues suit the part more than any other, from both an ability viewpoint and an ideological one. Though they make excellent allies during combat, assassins excel in more clandestine situations, and the best assassins are the ones the victims never knew existed.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Assassin
