name	system	tradition	source	description
Alien Source	Magic	Casting	[S&P]	You draw your magic from an unusual location, such as technology or an alternate matrix of magic (the specifics of this source should be determined by the player and GM together). Those who do not understand the mechanics of your powers struggle to resist them. Casters take a -2 penalty on any attempts to counterspell your abilities. Spell resistance against your abilities is reduced by 2. In addition, you gain a bonus to MSD equal to half your character level against effects which would suppress your magic (such as the Spell Ward talent of the Protection sphere) and do not take the penalty to MSD from Incompatible Energies when resisting such effects. These abilities can be ignored by a caster if they possess the same Alien Source as you from this boon, the Harmonic Counter feat, or a certain magic sphere that you possess (the magic sphere is chosen by you at the time you select this boon).
Atmoturgy	Magic	Casting		Choose a weather category (Aridity, Cold, Heat, Precipitation, or Wind). While in weather of this type of severity level 3 or higher, you gain a +1 competence bonus to your caster level. At severity level 6 or higher, this bonus becomes +2.
Bound Creature	Magic	Casting		Your magic is tied to a magical creature, who shares essence and power with you.<br>You gain the Conjuration sphere (or the Extra Companion talent if you already possess the Conjuration sphere), and a companion who serves as the source of your power. Your companion can possess companion archetypes and gain (form) talents as a normal companion, but does not gain the extraplanar subtype; it cannot be summoned, dismissed, or banished, and costs no spell points to use. (Form) talents that require the expenditure of spell points when a companion is summoned can be activated by spending those points after you rest to regain spell points, in which case the benefit lasts until the next time you rest to regain spell points. Bound creatures cannot benefit from talents gained from implements or that you do not permanently possess.<br>You do not suffer a chance of failure from the Focus Casting drawback so long as your bound creature is on the same plane as you and is within medium range (100 feet + 10 feet per caster level). If your bound creature dies, you suffer a chance of spell failure as outlined in the Focus Casting drawback until you gain another bound creature or bring the previous one back to life somehow. You cannot bond with a new creature for 30 days or until you gain another level, whichever comes first. A caster must possess the Focus Casting drawback to select this boon.
Confluent Casting	Magic	Casting	[SM—]	Source: Baron's Otherworldly Citadel<br>Your magic draws power from celestial bodies. Choose either the sun, the moon, the night sky, or another celestial body at GM discretion. While that celestial body is visible to you, you gain a +1 competence bonus to your caster level.<br>At GM discretion, particular celestial arrangements such as a full moon, passing comet, solar eclipse, or visibility of a certain constellation may increase this caster level bonus from +1 to +2 as long as they are active.
Deathful Magic	Magic	Casting		The closer you are to death, the more powerful your magic. While you are at half hit points or less, you gain a +1 competence bonus to your caster level. While you are at 1/4th your total hit points or less, this competence bonus increases to +2.
Draw Magic	Magic	Casting		You gain a +1 competence bonus to your caster level whenever at least 3 creatures under the effects of your sphere abilities are within 30 feet of you. This competence bonus increases to +2 if there are at least 6 such creatures within 30 feet.
Drawback Feat	Magic	Casting		You gain a (drawback) feat, chosen when this casting tradition is created. You may take this boon multiple times.<br>See Also: Drawback Feats
Easy Focus	Magic	Casting		When maintaining a sphere ability through concentration, effects that normally require a standard action to concentrate on only require a move action for you. This does not decrease the sphere ability’s casting time, only the action used to maintain concentration.
Embodiment	Magic	Casting		You have come to mentally embody some substance in spirit. Select some substance to which you have a mental or philosophical kinship. Magic that can only affect that substance or work through that substance can still affect you if you wish to be so affected.<br>This does not allow you to use talents or abilities that only affect items of a particular nature on yourself, but allows you to use abilities that could reasonably apply to you apart from a material limitation. For instance, you could not use the Nature sphere to use Elevated Nature on yourself via Embodiment (trees), but you could use Limited Telekinesis (ice) to move yourself via Embodiment (ice). Similarly, having Embodiment (trees) would allow another with Limited Warp (trees) to teleport to your location if you knew they wished to and allowed it to happen.
Empowered Abilities	Magic	Casting		Your magic grows in strength the more you use it. While your current number of spell points is half your total spell points or less, you gain a +1 competence bonus to your caster level. While your current number of spell points is 0, the competence bonus to your caster level becomes +2.
Fortified Casting	Magic	Casting		You may use your Constitution as your casting ability modifier if it is higher than your usual casting ability modifier. You must possess the Draining Casting drawback to select this boon.
Metamagic Expert	Magic	Casting		Your sphere abilities are cast with a +1 competence bonus to caster level whenever you augment it with a metamagic feat.
Overcharge	Magic	Casting		You may overcharge your magic, giving yourself great power at the cost of your own strength. Whenever you use a sphere ability, you may give yourself a +2 competence bonus to your caster level for that ability, but you become fatigued afterward. If you are already fatigued, you become exhausted. If you are exhausted, you collapse to the ground unconscious for 1d4 rounds. Creatures immune to fatigue cannot benefit from this boon.
Overconsumption	Magic	Casting	[CrimDan]	If you have fully removed your penalty from your Vampiric Casting drawback and drain a creature’s blood, instead of having the blood drain count towards how many creatures you have drained blood from in the next day, you can choose to instead gain a +1 competence bonus to your caster level, or +2 if you have the Vampiric Casting drawback twice, on the next sphere effect you create in the next minute. This bonus stacks with itself, up to a maximum of a +2 competence bonus. You must have the Vampiric Casting drawback to select this boon.
Overwhelming Power	Magic	Casting		Creatures under the effects of at least 1 of your sphere abilities suffer a -1 penalty to their saves against your other sphere abilities. This penalty increases to -2 if they are under the effects of at least 3 of your sphere abilities.
Sanguine Empowerment	Magic	Casting		At the beginning of your turn when you take damage from an ongoing bleed effect, you gain a +1 competence bonus to your caster level until the start of your next turn.
Virtuoso	Magic	Casting		Your magic is blended into your performance making it more difficult to identify. Observers must attempt a Perception or Sense Motive check opposed by your Skilled Casting check to realize that you are even invoking magic. You must possess the Skilled Casting drawback to select this boon, and cannot possess drawbacks such as Center of Power, Magical Signs, or Witchmarked that specifically reveal the nature of your casting.
Wild Surge	Magic	Casting	[WM]	As a free action, you may gain a +2 competence bonus to caster level to the next sphere effect you cast before the start of your next turn by increasing your wild magic chance by 100% for the same period.
Wild Will	Magic	Casting		Choose an environment from the ranger’s favored terrain list. Animals, vermin, and magical beasts commonly found in your selected environment are especially susceptible to your magic; your talents are treated as 2 caster levels higher when affecting these creatures. Vermin common to these environments are treated as animals with an Intelligence score of 1 for the purposes of affecting them with your mind-affecting talents.<br>This boon may be taken multiple times, each time using a different environmental setting.
Adapted Biology (requires Living Gizmo Tinker drawback)	Combat	Tinker		More than just alive, these machinations match the physiological functions of some other kind of creature. Consequently, they gain many of the benefits and weaknesses of sharing these similarities.<br>Choose one creature type. If choosing humanoid or outsider, you must additionally choose a subtype. Your living gizmos gain the following properties:<br>Your living gizmos are treated as creatures of the chosen type (and subtype), in addition to being an object.<br>Your living gizmos are treated as both an object and the chosen creature type creature for the purposes of a ranger’s favored enemy, the bane weapon special ability, and other spells and effects that determine their effects by creature type, whether beneficial or harmful, may be targeted and affected by effects that could affect a creature of the chosen type or an object (both beneficial and not).<br>Your living gizmos recover from ability damage and hit point damage at a rate of 1 ability damage per day and 1 hit point per gizmo level per day.<br>Your living gizmos get the chosen creature type’s resistances and immunity to damage types and effects, as well as its weaknesses (see the Note below).<br>If the chosen creature type is undead, your living gizmos are treated as undead creatures and objects (instead of living creatures and objects).<br>This ability does not allow your gizmos to be awakened, modified like a normal construct (i.e. construct modifications, construct templates, etc.), or other similar permanent alterations.<br>Note: When determining the defensive abilities Adapted Biology may grant to a gizmo, generally speaking, the gizmos gain the creature type’s resistance and immunity to damage types or effects. If a subtype grants other unique abilities (such as an aeon’s void form, archon’s aura of menace, an agathion’s lay on hands, or more general things like fast healing, regeneration, or spell resistance), these abilities are not granted. GMs should be the final arbiter of what is appropriate; creature types with no innate benefits may be granted additional effects by GM discretion.<br>Example: A practitioner with Adapted Biology (plant) would have gizmos that possess the immunities of the plant creature type, but are now also susceptible to effects that harm such creatures (such as the horrid wilting spell, and similar).
