name	type	category	source	requirements	description	url
Absalom Bouncer	Basic (Combat)	Basic (Combat)	Advanced Class Origins pg. 11		You learned to fight while serving as a bodyguard in the taverns of Absalom, where keeping the patrons alive through bloody bar brawls was just part of your job. When you make an attack that deals nonlethal damage with an unarmed strike, you gain a +1 bonus on your damage roll.	https://aonprd.com/TraitDisplay.aspx?ItemName=Absalom%20Bouncer
Absolute Loyalty	Basic (Combat)	Basic (Combat)	Knights of the Inner Sea pg. 0		You gain the one-time ability to immediately cast atonement upon yourself as a spell-like ability upon performing an act or being subjected to an effect that spell affects. This ability can only be used while you are acting in the service of your liege (an individual of higher social standing chosen when you take this feat).	https://aonprd.com/TraitDisplay.aspx?ItemName=Absolute%20Loyalty
Accelerated Drinker	Basic (Combat)	Basic (Combat)	Cheliax, Empire of Devils pg. 18		You know how to drink a potion efficiently, such as by not using your hands, tossing it in the air and catching it in your mouth, or opening it with your teeth. You may drink a potion as a move action instead of a standard as long as you start your turn with the potion in your hand.	https://aonprd.com/TraitDisplay.aspx?ItemName=Accelerated%20Drinker
Aldori Caution	Basic (Combat)	Basic (Combat)	Weapon Master's Handbook pg. 4		You learned defensive moves from Aldori trainers. You gain an additional +1 dodge bonus to Armor Class while you fight defensively or use the total defense action.	https://aonprd.com/TraitDisplay.aspx?ItemName=Aldori%20Caution
Ambush Training	Basic (Combat)	Basic (Combat)	Pathfinder Society Primer pg. 15		You’ve learned that taking an<br>enemy by surprise can end a combat before it begins.<br>You gain a +1 trait bonus on initiative checks and a +1<br>trait bonus on weapon damage rolls during any surprise<br>round in which you act.	https://aonprd.com/TraitDisplay.aspx?ItemName=Ambush%20Training
Anatomist	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 51		You have studied the workings of anatomy,<br>either as a student at university or as an apprentice<br>mortician or necromancer. You know where to aim your<br>blows to strike vital organs. You gain a +1 trait bonus on<br>all rolls made to confirm critical hits.	https://aonprd.com/TraitDisplay.aspx?ItemName=Anatomist
Armed Grit	Basic (Combat)	Basic (Combat)	Weapon Master's Handbook pg. 5		You make an impression during a standoff. As long as you have a firearm drawn, you gain a +2 trait bonus on saving throws against fear and the DCs of Intimidate checks to demoralize you increase by 2.	https://aonprd.com/TraitDisplay.aspx?ItemName=Armed%20Grit
Armor Expert	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 51		You have worn armor as long as you<br>can remember, either as part of your training to become<br>a knight’s squire or simply because you were seeking to<br>emulate a hero. Your childhood armor wasn’t the real<br>thing as far as protection, but it did encumber you as<br>much as real armor would have, and you’ve grown used to<br>moving in such suits with relative grace. When you wear<br>armor of any sort, reduce that suit’s armor check penalty<br>by 1, to a minimum check penalty of 0.	https://aonprd.com/TraitDisplay.aspx?ItemName=Armor%20Expert
Armored Rider	Basic (Combat)	Basic (Combat)	Armor Master's Handbook pg. 3		You gain a +1 trait bonus on Ride checks, and Ride is a class skill for you. You don’t take an armor check penalty on Ride checks while wearing light or medium armor.	https://aonprd.com/TraitDisplay.aspx?ItemName=Armored%20Rider
Armored Soul	Basic (Combat)	Basic (Combat)	Armor Master's Handbook pg. 3		When wearing armor or using a shield, you gain a +1 trait bonus on saving throws against divine spells that deal damage.	https://aonprd.com/TraitDisplay.aspx?ItemName=Armored%20Soul
Arodenite Sword Training	Basic (Combat)	Basic (Combat)	Arcane Anthology pg. 10		Your family has passed down training in Aroden’s favored weapon, even though the god no longer answers their prayers. You are proficient with the longsword. If your class grants longsword proficiency as well, you gain a +1 trait bonus on attacks of opportunity with longswords.	https://aonprd.com/TraitDisplay.aspx?ItemName=Arodenite%20Sword%20Training
Axe to Grind	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 51		There is a fire in your heart that can’t be<br>quenched. You gain a +1 trait bonus on damage against<br>foes who are threatened by only you.	https://aonprd.com/TraitDisplay.aspx?ItemName=Axe%20to%20Grind
Back for More	Basic (Combat)	Basic (Combat)	Agents of Evil pg. 11		Anytime an opponent confirms a critical hit against you, you gain a +2 morale bonus on attack rolls and damage rolls against that foe until the end of your next turn.	https://aonprd.com/TraitDisplay.aspx?ItemName=Back%20for%20More
Battlefield Disciple	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 51		You are skilled at supporting<br>your allies in the heat of battle. You gain a +2 trait bonus<br>on Heal checks made to stabilize a dying creature. In<br>addition, when you successfully use the aid another action<br>in combat to grant an ally a bonus on her next attack roll,<br>the bonus you grant increases by 1.	https://aonprd.com/TraitDisplay.aspx?ItemName=Battlefield%20Disciple
Berserker of the Society	Basic (Combat)	Basic (Combat)	Shattered Star Player's Guide pg. 5	Barbarian, Pathfinder Society	Your time spent as a Pathfinder has taught you new truths about the origins of the your rage ability. You may use your rage ability for 3 additional rounds per day.	https://aonprd.com/TraitDisplay.aspx?ItemName=Berserker%20of%20the%20Society
Black Powder Bravado	Basic (Combat)	Basic (Combat)	Ultimate Campaign pg. 51		You are particularly successful<br>when using deeds. Once per day, when you perform a deed<br>that requires an attack roll and you miss with that roll,<br>you can reroll it. You must take the second result even if<br>it is worse.	https://aonprd.com/TraitDisplay.aspx?ItemName=Black%20Powder%20Bravado
