name	sphere	system	tradition	source	prerequisites	description
Akashic Spells	Veilweaving	Magic	Casting			Your magic takes the form of briefly lived veils of magic. Whenever a creature is affected by one of your sphere effects, that effect appears as a physical manifestation of magic around the target for the duration of the sphere effect. During this time, a creature can attempt to Sunder your sphere effect.<br>Your sphere effects have a hardness equal to your caster level + the number of spell points spent on the effect. If one of your sphere effects takes damage equal to twice your caster level from a single Sunder attempt, the effect is immediately dispelled. When making a Sunder attempt against one of your sphere effects, the Sunder is made against your MSD + your casting ability modifier rather than against the targets CMD.
Imbued Power	Veilweaving	Magic	Casting			Your magic must be imbued in a creature for you to affect them. After resting to regain spell points, you must perform a number of rituals to allow yourself to utilize your magic powers on other creatures. As part of a one hour ritual, you may select a number of creatures equal to your casting ability modifier, imbuing them with your power until the next time you rest to regain spell points. If you perform this ritual again before you rest to regain spell points, the original selection of creatures loses the benefits of the ritual. You are always treated as being imbued with your own power for the purposes of this drawback.<br>Any time you use a sphere effect with a duration longer than instantaneous that targets specific creatures or items, you can only include creatures that are imbued with your power, or items they wield or carry, as its targets. If an effect is applied to an item that leaves an imbued creatures person, the magical effect is suppressed until the creature reacquires the item. The duration of the magical effect expires as normal during this suppression.<br>You may select this drawback twice. If taken a second time, you may only target imbued creatures with your sphere effects, even for effects that only have a duration of instantaneous. If you cast an effect that affects an area, the effect must be centered on or originate from an imbued creature.
Careful Engineer	Artifice	Skill	Trade			You lose the trinket ability and cobbled creation approach, as well as the bonus (function) talent granted when you gain a package. You gain a [utility] talent and a (flourish) talent of your choice.<br>Special: This drawback can be taken as a [utility start] if the chosen (flourish) talent is a utility talent.
Expensive Parts	Artifice	Skill	Trade			Whenever you create a flourish, you must pay a further material cost based on the number of ranks you possess in the Artifice sphere’s associated skill. The cost is equal to half the appropriate resource budget from the Faction sphere for the item’s type (either permanent or temporary) for your number of associated skill ranks. You gain the Flawless Flourish talent.<br>Note: This drawback grants an exceptional talent, and should be used at the GM's discretion. This alternate start gives GMs a clear method for NPCs to provide flourishes, or to simply remove the maintenance requirements from PCs that might not fit the style of the game. The GM might simultaneously rule that certain flourishes require a higher price when applied to certain items indefinitely.
Fixer	Artifice	Skill	Trade	[DRS]		Source: Diamond Spheres: Invention & Ingenuity<br>Sometimes it's easier to fix something than to start from scratch.<br>You lose the trinket ability and cobbled creation approach, as well as the bonus (function) talent granted when you gain a package. You gain the Field Repair and Meticulous Upkeep talents.
Fixer	Artifice	Skill	Trade	[LG]		Source: Arcforge Players Compendium<br>You cannot create trinkets (nor can you benefit from talents that augment them) and you lose the function granted by your chosen package. You gain Swift Repair with this drawback.<br>Special: This drawback can be taken as a [utility start].<br>Author's Note: To avoid confusion with other Fixer drawback, this drawback may be called Mender.
Rapid Crafter	Artifice	Skill	Trade			You can only create a trinket using the cobbled creation approach, and you gain the Greater Trinkets talent.
Writer	Artifice	Skill	Trade	[DRS]	Artwork package.	Source: Diamond Spheres: Invention & Ingenuity<br>When you create an artwork, choose a single language you know. A creature must be able to read the chosen language to engage with your artworks (effectively making engaging with your artworks a language-dependent effect).<br>You gain the Aesthetic Artifice talent—you must choose Artistry (literature) or Craft (books or calligraphy) as the skill you unlock leverage with.
Boundless Wit	Bluster	Skill	Trade			You find countless openings to practice your wits. You gain the Verbal Trap talent and do not gain the quip ability.
Deadly Presence	Bluster	Skill	Trade			You prefer to have a threatening or imposing aura about you, instead of a glare. You do not gain the quip ability, and gain the Nebulous Threat talent.
