name	associated_skill	associated_weapon_groups	martial_tradition	title_veil	dao_veil	description	source	url
Black Seraph	Intimidate	Axes, flails, and pole arms	Black Thorn Knights	The Fallen	Gracedrinker	The secrets of the Black Seraph discipline are taught by possessing fiends and demonic tutors to their pawns as a way of enticing fools who desire power into learning their secrets or the occasional few with wills strong enough to tear those secrets from their infernal prisoners. Not ones to blanch at the thought of fighting dirty, Black Seraph disciples are quite content to injure their foes in any way that they can to ensure their victory. This discipline focuses on powerful, straightforward two-handed strikes and vicious counters as well as intimidation, pain-infliction, and dirty fighting.<br><br>The Black Seraph discipline's associated skill is Intimidate, and its associated weapon groups are axes, flails, and pole arms.<br><br>The discipline of Black Seraph is a supernatural discipline and all abilities within are considered supernatural abilities and follow the rules and restrictions of such. Many abilities in this discipline carry the [evil] descriptor, but not all of them.<br><br>Style Feats:<br><br>Combo Feats:	Path of War, pgs. 49–56	https://metzo.miraheze.org/wiki/Black_Seraph
Broken Blade	Acrobatics	Close, monk, and natural	Sultanate of Beggars	The Brawler	Battered Vow	Legend has it the first practitioner of the Broken Blade style was a powerful swordsman who in the middle of a life-or-death duel with an old enemy found his sword broken by his opponent and had to toss it aside. Disheartened by his lack of weapons, he quickly realized that his years of training, exercise, and conditioning had made his body a weapon all on its own. Using only his fists and his nerve, this long-forgotten swordsman became the first to develop this discipline’s techniques, and he passed his experience on to others. Disciples of the Broken Blade teach these methods in monasteries, to cloistered warrior-monks who learn to operate without the use of traditional weapons of combat. Others learn from parents or individual mentors, haphazard or otherwise, and scrap their way through as it suits them. The Broken Blade’s associated skill is Acrobatics, and its associated weapon groups are close, monk, and natural.<br><br>Maneuvers from this discipline require the initiator to be using discipline weapons or be unarmed. Use of discipline-specific weapons with Broken Blade inflict an additional 2 points of damage.<br><br>Style Feats:	Path of War, pgs. 56–63	https://metzo.miraheze.org/wiki/Broken_Blade
Cursed Razor	Spellcraft	Heavy blades, light blades, and spears	The Quills	The Nightmare	Athame of the Warlock	The discipline known now as Cursed Razor has dark origins indeed, spawned forth from the bodyguards of an ancient demonic cult. Tapping into the power of their own malevolence, these warrior-warlocks struck their opponents down with dark curses channeled through their weapons and developed techniques to project maleficent auras that sapped away at the bodies and minds of their enemies. Since then Cursed Razor has spread far beyond the now-dead cult, which taught other students before its demise, left books of its secrets lying around, or else simply inspired others with demonstrations of its entropic power. Though the techniques of Cursed Razor stem from the inborn malice found in any sapient mind, its powers are not necessarily evil—pragmatic, certainly, and utterly lacking in any sense of fair play, but not evil. Knights and champions in the mortal realm seeking the weapons to combat evil turn to Cursed Razor to gain an edge on their fiendish foes, or as a way of acknowledging the terrible truth of evil’s place in the multiverse while at the same time casting their defiance in its teeth. Maneuvers from the Cursed Razor discipline are imbued and enhanced with magical energies; as such, they are supernatural abilities. Cursed Razor’s associated skill is Spellcraft, and its associated weapon groups are heavy blades, light blades, and spears.<br><br>Maneuvers from this discipline are imbued and enhanced with magical energies. As such, they are supernatural abilities.<br><br>Curse Maneuvers: Some maneuvers in Cursed Razor have the curse descriptor. These maneuvers, much like spells with the curse descriptor, use persistent, malicious energies to inflict penalties on their victims. A creature immune to curses is immune to the effects of these maneuvers, with the exception of any weapon damage inflicted by them.<br><br>Many of these curse maneuvers inflict a new condition: cursed. By itself, the cursed condition does nothing, but many maneuvers or abilities have an increased effect on cursed creatures, or can only be used on cursed creatures (see individual maneuver descriptions for more information on how they interact with the cursed condition). Spells with the curse descriptor also apply the cursed condition for a duration equal to the spell's duration. Multiple applications of the cursed condition do not overlap; instead the duration of each new application of the condition is added to the remaining duration of the previous application. The successful use of break enchantment, remove curse, or similar effects removes the cursed condition from the target in addition to their normal effects.<br><br>Style Feats:<br><br>Cursed Razor Special Note: Maneuvers from this discipline are imbued and enhanced with magical energies. As such, they are supernatural abilities.	Path of War Expanded, pgs. 108–114	https://metzo.miraheze.org/wiki/Cursed_Razor
Elemental Flux	Spellcraft	Light blades, monk, and thrown	Cagebreaker Brotherhood	The Primordial	Kusanagi's Woe	Equal parts martial discipline and magical art form, the discipline of Elemental Flux is a martial art that is said to have roots in the bloodlines of genies and their mortal descendants. By tapping their magical natures, they were able to pioneer a style of fighting that channeled their innate magic into a cohesive fighting style. Those descended from these original genie battle masters passed their talents down through the generations, and the discipline proliferated from there. In the current day, practitioners of Elemental Flux blend arcane elemental energies with martial strikes to create a dizzying array of quasi-arcane, magic-infused attacks that spell devastation and ruin to enemies. Elemental Flux’s associated skill is Spellcraft, and its associated weapon groups are light blades, monk, and thrown.<br><br>Maneuvers from this discipline are universally supernatural in nature, drawing as they do on the initiator’s ability to manipulate the elements. As such, they are supernatural abilities. In addition, many maneuvers within the Elemental Flux discipline may be augmented and improved by spending one or more points of animus (see the mystic base class or the Tap Animus feat for more details) when initiating the maneuver. Unless otherwise noted, you can only augment an individual maneuver once. Unlike a mystic’s normal animus augmentations, the number of animus points spent on Elemental Flux augmentations is not limited by your mystic level. Instead, you can spend a maximum amount of animus augmenting a maneuver equal to one point plus one additional point of animus for every seven initiator levels you possess. If you have the ability to augment your maneuvers in other ways, such as from a class feature or other ability, this cannot be combined with the augments of Elemental Flux maneuvers; you must choose which augmentation type to use when initiating the maneuver.<br><br>Active Elements: Many Elemental Flux maneuvers deal damage of the initiator’s active element’s associated energy type. The four available active elements (and their associated energy type) are air (electricity), earth (acid), fire (fire), and water (cold). A character that knows at least one Elemental Flux maneuver chooses his active element when he readies his maneuvers, and can change it by focusing as a standard action. A character can only have one active element at a time. An Elemental Flux maneuver that deals energy damage gains that damage type as a descriptor. If a character is psionic, they can change their active energy type whenever they change their active element, and vice versa. A psionic character’s active energy type need not match their active element.<br><br>Style Feats:	Path of War Expanded, pgs. 114–122	https://metzo.miraheze.org/wiki/Elemental_Flux
Eternal Guardian	Intimidate	Hammers, heavy blades, and polearms	Loyal Order of the Branded Waerloch	The Watcher	Guanyin's Golden Burden	The exact origins of the discipline of the Eternal Guardian are difficult to determine due to the style’s incredible age. One legend claims it was created by the god who first separated the planes, dividing the mortal from the immortal, while another story insists that it was founded by a single warrior who swore to defend his city from an entire invading army. These stories reflect the core of the discipline: A total devotion to a promise—usually either an oath to an ally that they will survive, no matter the cost to the disciple, or a curse on a foe that they will never escape. Today, the discipline of the Eternal Guardian has spread far and wide: It is used by bodyguards in the palaces of kings, sentinels of occult orders, and humble night watchmen making their rounds. The discipline of the Eternal Guardian and all of its maneuvers and stances are considered to be supernatural abilities and thus do not function in situations where supernatural abilities will fail. Eternal Guardian’s associated skill is Intimidate, and its associated weapon groups are hammers, heavy blades, and polearms.<br><br>Curse Maneuvers: Some maneuvers in Eternal Guardian have the curse descriptor. These maneuvers, much like spells with the curse descriptor, use persistent, malicious energies to inflict penalties on their victims. A creature immune to curses is immune to the effects of these maneuvers, with the exception of any weapon damage inflicted by them.<br><br>Many of these curse maneuvers inflict a new condition: cursed. By itself, the cursed condition does nothing, but many maneuvers or abilities have an increased effect on cursed creatures, or can only be used on cursed creatures (see individual maneuver descriptions for more information on how they interact with the cursed condition). Spells with the curse descriptor also apply the cursed condition for a duration equal to the spell’s duration. Multiple applications of the cursed condition do not overlap; instead the duration of each new application of the condition is added to the remaining duration of the previous application. The successful use of break enchantment, remove curse, or similar effects removes the cursed condition from the target in addition to their normal effects<br><br>Style Feats:<br><br>Combo Feats:<br><br>Special Note: Maneuvers from this discipline are universally supernatural in nature, drawing as they do on the initiator’s ability to manipulate fear. As such, they are supernatural abilities.	Path of War Expanded, pgs. 122–129	https://metzo.miraheze.org/wiki/Eternal_Guardian
Fool's Errand	Climb	All weapons	The Fellowship of Fools	The Skirmisher	Ruyi Jingu Bang	In the annals of history, as the story goes, a lone warrior appeared from nowhere and laid down a challenge: stop him. He tore a bloody path across the martial arts world, and eventually stood alone, undefeated and surrounded by the broken bodies of his victims. Afterwards, the warrior offered to teach his skills to those who dared to learn. The seemingly-impossible demands and trials his teachings entailed were off-putting to many, and those who managed to succeed became mediocre martial artists at best. It was not until he was hunted down by the son of one he had slain that the truth was revealed. The warrior was not a martial artist but a mage, and had triumphed in his battles through heavy use of obfuscated magic and hidden items. When called out on this falsehood, the mage laughed it off, claiming that his way was the epitome of martial skill—that to train the body instead of the mind was, and always would be, a “fool’s errand.”<br><br>Naturally, some took this as a challenge. A group of master martial artists took his “teachings” and repurposed them, finding meaning in the mage’s lies. Rather than rewriting his training manuals, they decided to take them at face value, channeling their spite to achieve the dangerous, stupid, and seemingly-impossible. After they eventually succeeded, the result was an eclectic mix of pilfered techniques and improbable metaphors that nonetheless resembled a functional style of martial arts. The group of masters later compiled their newfound knowledge into new teachings, and christening the discipline the Fool’s Errand, after its inventor’s contemptuous remark.<br><br>Fool’s Errand’s associated skill is Climb, and all weapons are associated weapons of the discipline.<br><br>Special Rules: The Fool's Errand discipline has several special rules regarding its access and use.<br><br>Fool’s Errand draws on many styles’ techniques, and as such is relatively easy to pick up. A student of its teachings often finds that their first step is merely to learn to blend their own arts with those of the discipline. As such, any character of any class can access the Fool’s Errand discipline by trading one of their available disciplines for it. If they do, they gain Climb as a class skill.<br><br>Many Fool’s Errand maneuvers direct the initiator to make one or more unarmed strikes against a target. Unarmed strikes made as part of Fool’s Errand strikes use the initiator’s highest attack bonus, may deal lethal or nonlethal damage, and do not provoke attacks of opportunity (as if the initiator possessed the Improved Unarmed Strike feat). A character may make these attacks with any part of his body, and applies his full Strength bonus on damage rolls. They can even make these attacks if their hands are full or if they attacked with each of their hands already this turn.<br><br>In all other ways, these are treated as normal unarmed strikes (including gaining benefits from class features, feats, magic items, and the like). These benefits apply to all unarmed strikes made as part of Fool’s Errand strikes, not just additional ones that a strike may grant. If the character cannot make their additional unarmed strikes from a Fool’s Errand maneuver (such as if they used the steel-shattering fist maneuver with a ranged weapon against a target outside their reach), they may still initiate the maneuver without making these attacks.<br><br>A character cannot substitute other weapons for the additional unarmed strikes granted by Fool’s Errand maneuvers, even if they have an ability that would normally allow them to use a weapon as if it were an unarmed strike. Gauntlets, however, can be used freely, as attacks with gauntlets are considered unarmed strikes by default.<br><br>Several Fool’s Errand maneuvers and related abilities allow you to lock your target. You may only lock creatures within your melee reach (including that of reach weapons or other effects that extend your reach). Locking a creature does not provoke attacks of opportunity, and even though it is not an attack, it is treated as a melee attack for the purposes of targeting, line of effect, miss chances, and ending an invisibility spell or similar effects. Attempting to lock or drag a creature ends any Stealth you have, though you can still use Stealth after you've locked a creature (if you are otherwise able to do so while observed, such as by having the hide in plain sight ability or making a successful Bluff check). Similarly, locked creatures can use Stealth against you if they have a means to do so, through successfully hiding from you using Stealth does not end the lock.<br><br>A creature targeted by a character’s lock must succeed at a Reflex save (DC 12 + 1/2 your highest initiator level + your Strength modifier or highest initiation modifier, whichever is higher) or become locked. Locking counts as a Fool's Errand maneuver for the purposes of abilities or effects that increase a maneuver's save DC, and the bonus for using a discipline weapon as part of the attempt is already included in the DC. If you can substitute another ability modifier for melee attack rolls or CMB checks (such as through the Weapon Finesse or Agile Maneuvers feats, or the soulknife’s Focused Offense blade skill), you may use that ability instead of your Strength or initiation modifier for determining your lock save DC.<br><br>Once you’ve locked a creature, they cannot voluntarily move from their space without escaping the lock (see below). If you lock another creature that is flying or otherwise midair, they remain in the air and do not fall. As this is an ability that hinders movement, creatures under the effects of a freedom of movement spell or slip the bonds power cannot be locked. You can end the lock as a free action, and it automatically ends if the locked creature is no longer within your reach.<br><br>You can move freely as long as each creature you’ve locked remains within your reach, or can drag creatures when you move by moving at half speed. If your movement takes place during a maneuver, you can drag creatures by halving the distance you would normally move (to a minimum of 5 feet, even if halving it would result in a lower distance). You must still follow all the restrictions of your movement (such as where you can move, or where you must end your movement).<br><br>When dragging a creature, they move in the same direction as you, relative to your spaces (even if that movement takes them to a harmful location). If you would drag them into a space they cannot enter (such as a wall or that of another creature), you must either relinquish your lock on them, change direction, or stop moving. Otherwise, you can freely drag them along with you, regardless of your relative sizes or location. The movement of dragged creatures does not provoke attacks of opportunity, and your movement does not provoke attacks of opportunity from creatures you’re dragging. If you would drag a creature into a space that can’t support them or a hazardous location (such as the air for a nonflying creature or a pit of lava), they may make a saving throw to escape the lock (see below). If they succeed, they are not dragged, escape the lock, and fall prone in their space.<br><br>On its turn, a creature can attempt to escape your lock whenever it tries to move. In order to do so, the creature must succeed at a Reflex save with the same DC as when they were locked. A creature can use their Strength instead of their Dexterity on this saving throw (but not the one to evade the initial lock). Success indicates that the locked creature escapes and can move freely; failure means they remain locked, though their action is still spent (and are treated as having moved, for the purposes of taking 5-foot steps). Teleportation effects allow a creature to automatically escape your lock, as do effects that cause you to no longer have the creature within your reach. A creature that does not attempt to move during their turn can make a Reflex save against the lock as a free action at the end of that turn. You cannot lock a creature in the same turn that it escaped your lock.<br><br>If you become helpless, all of your locked creatures are released.	Divergent Paths: Fool's Errand, pgs. 2–12	https://metzo.miraheze.org/wiki/Fool%27s_Errand
Golden Lion	Diplomacy	Heavy blades, hammers, and pole arms	Descendants of the Golden Council	The Warlord	Song of Battle	The discipline of Golden Lion is a practice passed between war leaders, chieftains, generals, and militia leaders over the generations, meant to bring a group of warriors together into one cohesive unit. Golden Lion is a discipline that only greatly benefits a warrior who believes strongly in teamwork. The larger the group, the more who can benefit from the skilled leadership of a dedicated commander. Golden Lion benefits its practitioners indirectly, by aiding their allies instead. Because of this association with team work and working in groups with many differing people, the associated skill for this discipline is Diplomacy, and its associated weapon groups are heavy blades, hammers, and pole arms.<br><br>Style Feats:<br><br>Combo Feats:	Path of War, pgs. 63–69	https://metzo.miraheze.org/wiki/Golden_Lion
Iron Tortoise	Bluff	Axes, heavy blades, and close weapons	Defenders of the Realm	The Protector	Shogun's Gunbai	The discipline known as Iron Tortoise rose up from the need to protect one’s self and allies from harm during wartime. Phalanx fighters knew that their shield protected them as much as their brother, and that a sturdy shield wall could repel almost any harm. Iron Tortoise disciples learn that their discipline requires their defensive stances to be perfect; they must not be budged from their spot unless they choose to move from them. Iron Tortoise requires its practitioners be proficient with a shield, and many of its maneuvers can only be used with a shield or shield-like device. The Iron Tortoise discipline’s associated skill is Bluff, and its associated weapon groups are axes, heavy blades, and close weapons.<br><br>Maneuvers from Iron Tortoise require use of a shield in one hand. Animated shields are not allowed as they do not allow the full range of motions required to use these maneuvers. Tower shields may be used, but cannot be used to perform shield bash maneuvers unless the initiator has the ability to perform shield bashes with tower shields.<br><br>Style Feats:<br><br>Combo Feats:	Path of War, pgs. 69–76	https://metzo.miraheze.org/wiki/Iron_Tortoise
Mithral Current	Perform (dance)	Light blades, heavy blades, and polearms	Lens Maker Society	The Wind	Soundless Crash	Like the flashing rapids, thundering waterfalls and deep, silent depths of the ocean, disciples of Mithral Current embody the many forms and ever changing nature of water. The art of Mithral Current’s bladework began as a set of scattered abilities found across several different island nations. Through frequent cultural exchange, trade and war these techniques spread and mixed forming a unique style that blended the culture and history of many peoples. The discipline found its use among all walks of life, from noble palaces where the drawing of a blade was an act of social suicide to the slums of portside cities where a hidden blade was the only thing that could keep one safe. Mithral Current’s associated skill is Perform (dance), and its associated weapon groups are light blades, heavy blades, and polearms.<br><br>The Fine Art of Iaijutsu: Disciples of the Mithral Current discipline are swift -striking warriors, and many of their maneuvers gain an added benefit if the disciple “draws their weapon as part of the attack.” For purposes of game mechanics, this means that the disciple has their weapon sheathed before initiating the maneuver, has the Quick Draw feat or a base attack bonus of +1 (allowing them to draw their weapon as part of a move action) and is initiating the maneuver using the weapon that is sheathed, drawing that weapon as a free action prior to initiating the maneuver (this can be done even if it isn’t their turn). As long as all three conditions are met, the Mithral Current disciple meets the requirements for these bonus effects to activate when initiating these maneuvers. A weapon is considered sheathed if it is in a non-threatening position, such as a monk putting their hands at their sides or in their pockets, a spear wielder pointing the tip of their spear into the ground, a soulknife with an unformed mind blade, or even a samurai keeping their katana in its sheath. The terminology of sheathing the weapon is only intended to serve as a shorthand for any number of ways a warrior can present themselves as non-threatening with their weapon.<br><br>Style Feats:<br><br>Combo Feats:	Path of War Expanded, pgs. 129–135	https://metzo.miraheze.org/wiki/Mithral_Current
Piercing Thunder	Acrobatics	Polearms and spears	Reverents of the Lance	The Stormbringer	Sky's Fury	The Piercing Thunder discipline finds its traditions rooted in one of the oldest weapons known to intelligent beings: the spear. Be this spear fought in melee, tossed to hunt, or used as part of a charge, the spear, and later the polearm, has been a standard in military practice. Those who follow Piercing Thunder’s teachings know that these mighty hafted weapons are equally at home in the hands of a warrior on the battlefield as they are in those of a poor peasant militiaman—the spear knows no rank, only skill. Piercing Thunder shows superiority through the overwhelming force granted by reach and mobility. Piercing Thunder’s associated skill is Acrobatics, and its associated weapon groups are polearms and spears.<br><br>Style Feats:<br><br>Combo Feats:<br><br>Special Note: The specialized nature of some Piercing Thunder maneuvers requires you to be wielding a discipline weapon or a weapon that inflicts piercing damage. If you are not wielding such a weapon, then you cannot perform those maneuvers. In addition, while you maintain a Piercing Thunder stance, you can retrieve unattended weapons as a free action, provided the weapon is within your reach at some point during your turn (including as part of movement).	Path of War Expanded, pgs. 135–142	https://metzo.miraheze.org/wiki/Piercing_Thunder
