class	json_data
Agent of the Grave	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Inspired necromancy, lich's touch, unholy fortitude", "—"], ["2nd", "+1", "+1", "+1", "+1", "Undead manipulator", "+1 level of existing class"], ["3rd", "+1", "+2", "+1", "+2", "Negative energy conduit", "+1 level of existing class"], ["4th", "+2", "+2", "+1", "+2", "Death's shroud, negative energy affinity", "+1 level of existing class"], ["5th", "+2", "+3", "+2", "+3", "Secrets of death, undead initiate", "+1 level of existing class"]]
Aldori Swordlord	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+0", "+1", "+0", "Deft strike, quick draw"], ["2nd", "+2", "+1", "+1", "+1", "Display weapon prowess"], ["3rd", "+3", "+1", "+2", "+1", "Defensive parry +1"], ["4th", "+4", "+1", "+2", "+1", "Adaptive tactics 1"], ["5th", "+5", "+2", "+3", "+2", "Shatter confidence"], ["6th", "+6", "+2", "+3", "+2", "Saving slash"], ["7th", "+7", "+2", "+4", "+2", "Defensive parry +2, dexterous duelist"], ["8th", "+8", "+3", "+4", "+3", "Adaptive tactics 2"], ["9th", "+9", "+3", "+5", "+3", "Greater saving slash"], ["10th", "+10", "+3", "+5", "+3", "Confounding duelist"]]
Arcane Archer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+1", "+1", "+1", "+0", "Enhance arrows (magic)", "—"], ["2nd", "+2", "+1", "+1", "+1", "Imbue arrow", "+1 level of existing class"], ["3rd", "+3", "+2", "+2", "+1", "Enhance arrows (elemental)", "+1 level of existing class"], ["4th", "+4", "+2", "+2", "+1", "Seeker arrow", "+1 level of existing class"], ["5th", "+5", "+3", "+3", "+2", "Enhance arrows (distance)", "—"], ["6th", "+6", "+3", "+3", "+2", "Phase arrow", "+1 level of existing class"], ["7th", "+7", "+4", "+4", "+2", "Enhance arrows (elemental burst)", "+1 level of existing class"], ["8th", "+8", "+4", "+4", "+3", "Hail of arrows", "+1 level of existing class"], ["9th", "+9", "+5", "+5", "+3", "Enhance arrows (aligned)", "—"], ["10th", "+10", "+5", "+5", "+3", "Arrow of death", "+1 level of existing class"]]
Arcane Trickster	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+1", "+1", "Ranged legerdemain", "+1 level of existing class"], ["2nd", "+1", "+1", "+1", "+1", "Sneak attack +1d6", "+1 level of existing class"], ["3rd", "+1", "+1", "+2", "+2", "Impromptu sneak attack 1/day", "+1 level of existing class"], ["4th", "+2", "+1", "+2", "+2", "Sneak attack +2d6", "+1 level of existing class"], ["5th", "+2", "+2", "+3", "+3", "Tricky spells 3/day", "+1 level of existing class"], ["6th", "+3", "+2", "+3", "+3", "Sneak attack +3d6", "+1 level of existing class"], ["7th", "+3", "+2", "+4", "+4", "Impromptu sneak attack 2/day, tricky spells 4/day", "+1 level of existing class"], ["8th", "+4", "+3", "+4", "+4", "Sneak attack +4d6", "+1 level of existing class"], ["9th", "+4", "+3", "+5", "+5", "Invisible thief, tricky spells 5/day", "+1 level of existing class"], ["10th", "+5", "+3", "+5", "+5", "Sneak attack +5d6, surprise spells", "+1 level of existing class"]]
Arclord of Nex	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Mystic pedagogue, third eye", "+1 level of arcane spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Artificer’s touch", "+1 level of arcane spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Scholiast 1", "+1 level of arcane spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Arcane architect", "+1 level of arcane spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Improved third eye", "+1 level of arcane spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Scholiast 2", "+1 level of arcane spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Extradimensional extension", "+1 level of arcane spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Call for aid", "+1 level of arcane spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Scholiast 3", "+1 level of arcane spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Greater third eye", "+1 level of arcane spellcasting class"]]
Argent Dramaturge	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+1", "+1", "Argent performance (“Song of Silver”)", "+1 level of existing class"], ["2nd", "+1", "+1", "+1", "+1", "Dramaturgical flourish", "+1 level of existing class"], ["3rd", "+1", "+1", "+2", "+2", "Argent performance (anchoring aria)", "+1 level of existing class"], ["4th", "+2", "+1", "+2", "+2", "Dramaturgical flourish", "+1 level of existing class"], ["5th", "+2", "+2", "+3", "+3", "Argent performance (60-ft. radius, breath of life)", "+1 level of existing class"], ["6th", "+3", "+2", "+3", "+3", "Dramaturgical flourish", "+1 level of existing class"], ["7th", "+3", "+2", "+4", "+4", "Argent performance (swift)", "+1 level of existing class"], ["8th", "+4", "+3", "+4", "+4", "Dramaturgical flourish", "+1 level of existing class"], ["9th", "+4", "+3", "+5", "+5", "Argent performance (righteous chord)", "+1 level of existing class"], ["10th", "+5", "+3", "+5", "+5", "Dramaturgical flourish", "+1 level of existing class"]]
Asavir	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "Camaraderie +1, equine bond"], ["2nd", "+2", "+1", "+1", "+1", "Shaitan's blessing +2, thunderous charge (5 ft.)"], ["3rd", "+3", "+2", "+1", "+2", "Aura of courage, flank breaker"], ["4th", "+4", "+2", "+1", "+2", "Djinni's blessing (10 ft.), controlled charge"], ["5th", "+5", "+3", "+2", "+3", "Camaraderie +2"], ["6th", "+6", "+3", "+2", "+3", "Marid's blessing, thunderous charge (10 ft.), trampling gallop"], ["7th", "+7", "+4", "+2", "+4", "All eyes on me"], ["8th", "+8", "+4", "+3", "+4", "Djinni's blessing (20 ft.), efreeti's blessing"], ["9th", "+9", "+5", "+3", "+5", "Camaraderie +3, inspiring leader, Shaitan's blessing +4"], ["10th", "+10", "+5", "+3", "+5", "Janni's blessing, thunderous charge (20 ft.)"]]
Ashavic Dancer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+1", "+1", "Ashavic performance (move action), deathwaking dance", "—"], ["2nd", "+1", "+1", "+1", "+1", "Ashavic rites, peerless dancer", "+1 level of existing spellcasting class"], ["3rd", "+2", "+1", "+2", "+2", "Untethering steps", "+1 level of existing spellcasting class"], ["4th", "+3", "+1", "+2", "+2", "Ghostly grace (self)", "+1 level of existing spellcasting class"], ["5th", "+3", "+2", "+3", "+3", "Peerless dancer (first skill)", "+1 level of existing spellcasting class"], ["6th", "+4", "+2", "+3", "+3", "Soothing performance", "+1 level of existing spellcasting class"], ["7th", "+5", "+2", "+4", "+4", "Ashavic performance (swift action), exorcist's waltz", "+1 level of existing spellcasting class"], ["8th", "+6", "+3", "+4", "+4", "Peerless dancer (second skill)", "+1 level of existing spellcasting class"], ["9th", "+6", "+3", "+5", "+5", "Ghostly grace (allies)", "+1 level of existing spellcasting class"], ["10th", "+7", "+3", "+5", "+5", "Peerless dancer (third skill), true spark's guidance", "+1 level of existing spellcasting class"]]
Aspis Agent	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Trap sense +1, trapfinding"], ["2nd", "+1", "+1", "+1", "+1", "Agency secrets, mask alignment"], ["3rd", "+2", "+1", "+2", "+1", "Ambush trap, sneak attack +1d6"], ["4th", "+3", "+1", "+2", "+1", "Agency secrets, trap sense +2"], ["5th", "+3", "+2", "+3", "+2", "Crucial taunt"], ["6th", "+4", "+2", "+3", "+2", "Agency secrets, sneak attack +2d6"], ["7th", "+5", "+2", "+4", "+2", "improved trap sense, trap sense +3"], ["8th", "+6", "+3", "+4", "+3", "Agency secrets, remote activation"], ["9th", "+6", "+3", "+5", "+3", "Sneak attack +3d6"], ["10th", "+7", "+3", "+5", "+3", "Agency secrets, trap sense +4"]]
Assassin	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Sneak attack +1d6, death attack, poison use"], ["2nd", "+1", "+1", "+1", "+1", "+1 save bonus against poison, uncanny dodge"], ["3rd", "+2", "+1", "+2", "+1", "Sneak attack +2d6"], ["4th", "+3", "+1", "+2", "+1", "+2 save bonus against poison, hidden weapons, true death"], ["5th", "+3", "+2", "+3", "+2", "Improved uncanny dodge, sneak attack +3d6"], ["6th", "+4", "+2", "+3", "+2", "+3 save bonus against poison, quiet death"], ["7th", "+5", "+2", "+4", "+2", "Sneak attack +4d6"], ["8th", "+6", "+3", "+4", "+3", "+4 save bonus against poison, hide in plain sight"], ["9th", "+6", "+3", "+5", "+3", "Sneak attack +5d6, swift death"], ["10th", "+7", "+3", "+5", "+3", "+5 save bonus against poison, angel of death"]]
