sphere_name	talent_name	talent_category	tags	prerequisites	base_cost	description	augments
Boxing	Corkscrew Set Up	Base Talent				As a part of readying an action to perform a counter punch, you can make an attack roll against one creature within your reach. If this attack hits, it deals no damage, but until the start of your next turn, the target of this attack can move only in such a way that the space it occupies is adjacent to you after their movement. Alternatively, it can attempt a combat maneuver check (against your CMD) on their turn as a swift action to ignore this talent’s effect. If your base attack bonus is +10 or higher, this attack deals damage equal to your practitioner modifier + your base attack bonus instead of no damage.	
Boxing	Cross Counter	Base Talent				Whenever a creature within your reach makes an attack of opportunity against you, you can expend your martial focus as an immediate action to make an attack against them dealing damage as normal; if your attack is successful, the creature must roll their attack roll twice, taking the worse result.	
Boxing	Dug In Blow	Base Talent				Whenever you successfully make an attack with your counter punch, you gain DR 2/- until the beginning of your next turn, although this damage reduction is lost if you move more than 5 ft. during your turn. For every 3 points of base attack bonus you possess, this damage reduction increases by 1.	
Boxing	Elongated Step (stance)	Base Talent	[3PP]			At the start of your turn, you can spend a swift action to use this talent. When you do, until the beginning of your next turn whenever you use your counter punch ability, you increase your reach by 5 feet for attacks made with your counter punch. At +10 base attack bonus, you instead increase your reach by 10 feet. If you expend your martial focus while activating this talent, it instead lasts a number of rounds equal to your practitioner modifier.	
Boxing	Extra Trigger	Base Talent	[3PP]			You can select an additional trigger for your counter punch ability. If you would be able to gain a new trigger due to increasing your base attack bonus, you can choose to retrain this talent into another boxing talent of your choice.	
Boxing	Floating Butterfly (stance)	Base Talent	[Youxia HB]			While in this stance, whenever you ready a counter punch, you may choose to forgo the competence bonus to your counter punch’s damage roll in order to gain a dodge bonus to AC equal to half the bonus damage until the beginning of your next turn. Additionally, whenever you are targeted with a melee attack while benefiting from this dodge bonus, you may expend an attack of opportunity to make a 5-foot step immediately after the attack resolves.	
Boxing	Gazelle Punch	Base Talent				Whenever you ready a counter punch, you treat your reach as though it was 5 ft. further for the purposes of being able to make a counter punch. If the triggering action was taken by a creature that is outside of your normal reach, you may move to a square that places the creature within your reach (this movement does provoke attacks of opportunity) before making the attack. At +10 base attack bonus, your effective reach increases by an additional 5 ft. (up to your speed).	
Boxing	Hair Trigger	Base Talent	[Apoc]			You can use counter punch with ranged attacks, except that instead of readying an action to make an attack against the next enemy who makes a melee attack roll against you before the beginning of your next round, you ready an action to make an attack against the next enemy who makes an attack roll within your first range increment before the beginning of your next round. You may select additional triggers for counter punch as normal, except that they must be within your first range increment in order to trigger your counter punch.	
Boxing	Headfake	Base Talent				As long as you have martial focus, whenever a creature attempts to make an attack of opportunity against you, they must roll their attack roll twice, taking the worse result. Creatures capable of making multiple attacks of opportunity per round may instead expend two attacks of opportunity instead of one to make an attack of opportunity as normal.	
Boxing	Heavy Counter	Base Talent				You may use a counter punch with a one or two-handed melee weapon.	
Boxing	KO Focus	Base Talent				Whenever you successfully deal damage to a target with your counter punch, you may spend an immediate action to regain your martial focus. The creature must have a CR of at least half your character level (rounded down, minimum 1/2).	
Boxing	Overhead Smash	Base Talent				As long as you have martial focus, whenever you use your counter punch, you may spend an immediate action before the attack roll to roll your attack roll and damage roll twice, taking whichever set of results you desire.	
Boxing	Passive Fist	Base Talent	[Jester's HB]			As long as you have a readied action to perform a counter punch, you may abandon your readied action as a free action (even if it is not your turn) and regain martial focus. Abandoning a readied action with this talent does not grant you additional actions.<br>In addition, you may forgo selecting an additional trigger in favor of self defense. For each additional trigger you forgo selecting when readying your counter punch, you gain a +1 circumstance bonus to your armor class until the start of your next turn.	
Boxing	Prizefighter	Base Talent	[Apoc]			Source:<br>Spheres Apocrypha: Pugilists<br>When you ready a counter punch, you can decide on an additional trigger for your prepared attack.<br>In addition, you gain the following new triggers to choose from when you ready a counter punch:<br>A hostile creature fails a saving throw<br>A hostile creature attempts a skill check<br>A hostile creature expends martial focus<br>A hostile creature uses a supernatural ability as a standard action	
Boxing	Punishing Cross	Base Talent	[Youxia HB]			Whenever you take damage from a melee attack, you can expend your martial focus as an immediate action. If you do, you take half of the damage you normally would. The creature who struck you must succeed at a Reflex save or take half of the damage you would have taken.	
Boxing	Raging Bull	Base Talent				Whenever you ready a counter punch, you can instead ready a charge, although you may only move up to your speed with this charge (the attack granted by this charge is still treated as an attack action).<br>Associated Feat:<br>Rhino Charge.<br>Author's Note:<br>Abilities that multiply damage dealt on a charge, such as the Spirited Charge feat or wielding a lance while making a mounted charge, may not be used with this talent.	
Boxing	Read the Rhythm	Base Talent	[utility]			As a move action, you can select one creature within 40 ft. of yourself; you gain a +2 competence bonus on all opposed skill checks you make against that creature for 1 minute. You can only gain this bonus against a single creature at a time, and you can only use this talent against a particular creature once per day. For every 4 points of base attack bonus you possess, this bonus increases by +2.	
