race	trait_name	replaces	source	description	url
Dwarves	Low-Light Vision	Darkvision	Heroes of the Wild pg. 5	Many feyborn have low-light vision. Races that normally have darkvision (such as dwarves and half-orcs) can take low-light vision in place of darkvision. In the case of humans, this trait replaces the skilled trait (and the human also gains fey magic and fey thoughts, as detailed in Fey Magic, above).<br>Minesight<br>Source Advanced Race Guide pg. 12<br>Dwarves with this racial trait increase the range of their darkvision to 90 feet; however, they are automatically dazzled in bright light and take a –2 penalty on saving throws against effects with the light descriptor. This racial trait replaces darkvision.<br>Surface Survivalist<br>Source Advanced Race Guide pg. 12<br>Some dwarves have dwelt so long aboveground they have lost their ability to see at night. However, their adaptation to extreme environments allows them to treat wind conditions (when determining whether or not they are checked or blown away) and either hot or cold climates (choose one) as one step less severe. This racial trait replaces darkvision.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Dusksight	Darkvision, Hatred	Blood of Shadows pg. 4	Characters who operate below canopies or fight in dimly lit caves and shadowy planes of existence learn to use their low-light vision to deduce a foe’s position from the flickers of shadows around a target. When making ranged attacks, characters with this trait can reroll the miss chance granted by cover to any target in dim light, and take the better of the two rolls. The miss chance for total concealment applies normally.<br>Dwarves can take this trait in place of hatred and darkvision, also gaining low-light vision. Elves, gnomes, half-elves, and halflings can take this trait in place of keen senses. Half-orcs can take this trait in place of weapon familiarity, also gaining low-light vision.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Deep Warrior	Defensive Training	Advanced Race Guide pg. 11	Dwarves with this racial trait grew up facing the abominations that live deep beneath the surface. They receive a +2 dodge bonus to AC against monsters of the aberration type and a +2 racial bonus on combat maneuver checks made to grapple such creatures (or to continue a grapple). This racial trait replaces defensive training.<br>Desert Delver<br>Source Heroes from the Fringe pg. 4<br>Desert dwarves have adapted to the extremes of cold and heat that can suddenly occur in both the harsh deserts and the mountain tunnels around their caravan routes. Dwarves with this racial trait gain cold and fire resistance 1 and treat the temperature as 20 degrees cooler or warmer when determining the effects of extreme heat or extreme cold environments.<br>This replaces defensive training.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Poison Minion	Defensive Training, Hardy	Blood of Shadows pg. 5	Drow sometimes augment their slaves and frontline warriors by making them toxic, causing their bodies to internally produce mawbane poison (see below). The resulting poisonous creature makes a potent weapon in the effort to discourage neighboring monsters. Any creature that hits such a character with a bite attack is immediately exposed to its poison. The save DC for this poison is equal to 10 + 1/2 the character’s Hit Dice + the character’s Constitution modifier.<br>Mawbane Poison—ingested; save Fortitude as above; frequency 1/round for 4 rounds; effect 1d2 Constitution damage; cure 1 save.<br>Dwarves can take this trait in place of defensive training and hardy. Elves can take this trait in place of elven magic and weapon familiarity. Gnomes can take this trait in place of defensive training, gnome magic, and illusion resistance. Half-elves can take this trait in place of elven immunities and keen senses. Half-orcs can take this trait in place of orc ferocity and weapon familiarity. Humans can take this trait in place of skilled. Halfling physiology prevents them from taking this trait. Drow can take this trait in place of drow immunities, light blindness, spell resistance, and weapon familiarity. Wayangs can take this trait in place of light and dark, lurker, and shadow resistance.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Barrow Warden	Defensive Training, Hatred	Horror Adventures pg. 38	Dwarves with this racial trait gain a +1 bonus on attack rolls and a +1 dodge bonus to their AC against undead. This racial trait replaces defensive training and hatred.<br>Death's End<br>Source Heroes from the Fringe pg. 5<br>Some Pahmet come from long lines of guardians who train to defeat any undead that enter the tombs they protect. Dwarves with this racial trait gain a +2 bonus to AC against undead and a +2 bonus on saving throws against spells and spell-like abilities cast by undead.<br>This replaces defensive training and hatred.<br>Deep Tradition<br>Source Heroes from the Fringe pg. 5<br>While some dwarves focus their early years on training against one specific foe of the dwarven kingdoms, others know that there are many enemies who would destroy dwarvenkind if given the opportunity. A dwarf with this racial trait gains a +1 bonus on melee attack rolls and a +1 bonus to AC against attacks of opportunity made by drow, duergar, creatures of the aberration type, or creatures of the giant or orc subtype.<br>This replaces defensive training and hatred.<br>Iron Within<br>Source Heroes from the Fringe pg. 4<br>Dwarves with this racial trait gain 1 ki point. If the dwarf gains ki points from a different source, this ki point is added to that pool. In addition to any other ways in which the dwarf can use ki, the dwarf can expend the ki point as a swift action to either gain a +2 dodge bonus to AC for 1 round or increase her base speed by 20 feet for 1 round. The bonus ki point does not allow the dwarf to make a ki strike unless she has another ability that allows her to do so, such as the ki pool from the monk class. Like other ki points, this ki point is replenished each morning after 8 hours of rest or meditation.<br>This replaces defensive training and hatred.<br>Lasting Grudge<br>Source Inner Sea Races pg. 210<br>Dwarves are notorious for their long-lasting grudges. Those who live up to this racial reputation gain a +1 racial bonus on attack rolls against any individual creature that has attacked them 1 day ago or longer. This racial trait replaces defensive training and hatred.<br>Slag Child<br>Source Inner Sea Races pg. 210<br>Dwarves from dishonored families must append “-slag,” “-slagsun,” or “-slagdam” to their surnames to indicate their shameful status. These dwarves are commonly banished or ostracized; they are forced to eke out a living at the fringes of dwarven settlements or in bleak wilderness areas such as the Kodar Mountains. They gain a +2 racial bonus on Stealth and Survival checks. This racial trait replaces defensive training and hatred.<br>Spell Smasher<br>Source Inner Sea Races pg. 210<br>Dwarven families who are threatened by hostile magic-users, especially those who face duergar foes, train intently to thwart spellcasting. They gain a +1 racial bonus on attack rolls against creatures in the process of casting spells or spell-like abilities. This racial trait replaces defensive training and hatred.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Saltbeard	Defensive Training, Hatred, Stonecunning	Advanced Race Guide pg. 12	Dwarves occasionally found iron cities along rugged seacoasts, and natives of such cities gain a +2 bonus on Profession (sailor) and Survival checks while at sea. They gain a +1 racial bonus on attack rolls and a +2 dodge bonus to AC against creatures with the aquatic or water subtype. Their greed racial trait applies only to treasure found in or under the water, but applies to all such treasure regardless of whether or not it contains metal or gemstones. This racial trait replaces defensive training, hatred, and stonecunning.<br>Sky Sentinel<br>Source Advanced Race Guide pg. 12<br>As creatures with a deep affinity for the ground, dwarves are wary of attacks from above. Enemies on higher ground gain no attack roll bonus against dwarves with this racial trait, and they gain a +1 racial bonus on attack rolls, a +2 dodge bonus to AC, and a +2 bonus on Perception checks against flying creatures. This racial trait replaces defensive training, hatred, and stonecunning.<br>Stoic Negotiator<br>Source Inner Sea Races pg. 210<br>Some dwarves, especially those who hail from the town of Peddlegate in Druma, use their unwavering stubbornness to get what they want in negotiations and other business matters. They gain a +2 racial bonus on Bluff, Diplomacy, and Profession (merchant) checks. This racial trait replaces defensive training, hatred, and stonecunning.<br>Wyrmscourged<br>Source Advanced Race Guide pg. 12<br>Dwarves with this racial trait gain a +1 bonus on attack rolls and a +2 dodge bonus to AC and on saving throws against the exceptional, supernatural, and spell-like abilities of dragons. They also gain a +2 racial bonus on Knowledge (arcana) checks to identify dragons and can make such checks untrained. This racial trait replaces defensive training, hatred, and stonecunning.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Craftsman	Greed	Advanced Race Guide pg. 11	Dwarves are known for their superior craftsmanship when it comes to metallurgy and stonework. Dwarves with this racial trait receive a +2 racial bonus on all Craft or Profession checks related to metal or stone. This racial trait replaces greed.<br>Lorekeeper<br>Source Advanced Race Guide pg. 12, Advanced Player's Guide pg. 11<br>Dwarves keep extensive records about their history and the world around them. Dwarves with this racial trait receive a +2 racial bonus on Knowledge (history) checks that pertain to dwarves or their enemies. They can make such skill checks untrained. This racial trait replaces greed.<br>Shadowplay<br>Source Blood of Shadows pg. 5<br>Some illusionists are experts in manipulating light and darkness. Characters with this trait cast spells with the darkness, light, or shadowUM descriptor at +1 caster level.<br>Dwarves can take this trait in place of greed. Elves can take this trait in place of elven magic, also gaining the fetchling’s spell-like abilitiesARG racial trait. Gnomes can take this trait in place of gnome magic. Halflings can take this trait in place of weapon familiarity. Half-orcs can take this trait in place of intimidating, also gaining the gnome’s illusion resistance racial trait.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Spiritual Support	Greed, Hardy	Inner Sea Races pg. 210	Dwarves greatly value loyalty in faith, and their gods readily reward them for it. They gain a +1 racial bonus to their caster levels when casting conjuration (healing) spells upon allies. This racial trait replaces greed and hardy.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Siege Survivor	Greed, Hardy, Hatred	Inner Sea Races pg. 210	Dwarves who make their homes in the Sky Citadels are trained to outlast sieges and serve as vigilant guards. They gain Endurance as a bonus feat. In addition, during rounds in which they have not moved, they gain a +1 racial bonus on attack rolls against foes who also did not move since their last turn. This racial trait replaces greed, hardy, and hatred.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Breath Weapon	Greed, Hatred, Stonecunning, Weapon Familiarity	Heroes from the Fringe pg. 4	Dwarves with this racial trait can call upon the spirit of a sacred dragon to channel a fraction of that dragon’s power. Upon taking this trait, the dwarf must select cold, electricity, or fire as the breath weapon’s damage type and either a 15-foot cone or a 20-foot line as the breath weapon’s shape. Once these selections are made, they cannot be changed. Once per day, the dwarf can make a supernatural breath attack in the selected shape, dealing 1d4 points of damage of the chosen damage type, plus 1d4 points of damage of that type for every 2 levels above 1st the dwarf has (to a maximum of 5d4 at 9th level). Targets in the area can attempt a Reflex save (DC = 10 + half the dwarf ’s level + the dwarf ’s Constitution bonus) for half damage.<br>This replaces greed, hatred, stonecunning, and weapon familiarity.	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
